group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,fit_density_mg_ml,rho_dense_fit_mg_ml,rho_dilute_fit_mg_ml,deltaG_fit_kj_mol
$\text{IDP}_{50}$-Mem,74,22.81738558769226,0.4060480084744315,0.1133506329331609,0.3689108210660663,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,75,23.123659219741818,0.40821648359770535,0.12002311740872798,0.36768417258014097,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,76,23.42993285179138,0.4083007995039929,0.1252305602747838,0.3667163668088733,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,77,23.73620648384094,0.40909065363400643,0.13094782610570566,0.3659527844391164,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,78,24.042480115890502,0.40603658142759835,0.13835995909787804,0.3653503313088322,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,79,24.348753747940062,0.4030165938137899,0.14689720863375919,0.3648750065989361,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,0,0.14348921775817872,523.5899283125485,33.47804489551569,542.3009835189575,550.613204942278,1.3063672742240449,-15.576882036053567
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,1,0.4304676532745361,523.9090642401242,32.052296327038306,540.7291193712841,550.613204942278,1.3063672742240449,-15.576882036053567
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,2,0.7174460887908936,520.2188753838756,29.56515579747187,538.866465473473,550.613204942278,1.3063672742240449,-15.576882036053567
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,3,1.004424524307251,521.6706446886965,23.830313144070452,536.661873333682,550.613204942278,1.3063672742240449,-15.576882036053567
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,4,1.2914029598236083,520.8764245384481,18.21092334604579,534.0562736791173,550.613204942278,1.3063672742240449,-15.576882036053567
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,5,1.578381395339966,519.8717625367999,14.501885710467803,530.9818876911646,550.613204942278,1.3063672742240449,-15.576882036053567
