group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,17.384769539078157,0.26639607832510137
$\text{IDP}_{50}$,17.43486973947896,0.25820016254272105
$\text{IDP}_{50}$,17.48496993987976,0.25034419690530285
$\text{IDP}_{50}$,17.535070140280563,0.24281409053969583
$\text{IDP}_{50}$,17.585170340681362,0.23559633585875872
$\text{IDP}_{50}$,17.635270541082164,0.22867798447941823
$\text{IDP}_{50}$,17.685370741482966,0.22204662413054166
$\text{IDP}_{50}$,17.73547094188377,0.2156903565090147
$\text{IDP}_{50}$,17.78557114228457,0.20959777604650753
$\text{IDP}_{50}$,17.835671342685373,0.2037579495492423
$\text{IDP}_{50}$,17.88577154308617,0.19816039667563246
$\text{IDP}_{50}$,17.935871743486974,0.1927950712170059
$\text{IDP}_{50}$,17.985971943887776,0.18765234314952295
$\text{IDP}_{50}$,18.03607214428858,0.18272298142471755
$\text{IDP}_{50}$,18.08617234468938,0.17799813746944437
$\text{IDP}_{50}$,18.13627254509018,0.17346932936578696
$\text{IDP}_{50}$,18.18637274549098,0.16912842668273242
$\text{IDP}_{50}$,18.236472945891784,0.16496763593374908
$\text{IDP}_{50}$,18.286573146292586,0.16097948663417583
$\text{IDP}_{50}$,18.336673346693388,0.15715681793341219
$\text{IDP}_{50}$,18.38677354709419,0.1534927657991716
$\text{IDP}_{50}$,18.43687374749499,0.14998075073077644
$\text{IDP}_{50}$,18.48697394789579,0.14661446597938266
$\text{IDP}_{50}$,18.537074148296593,0.1433878662549546
$\text{IDP}_{50}$,18.587174348697395,0.14029515689964
$\text{IDP}_{50}$,18.637274549098198,0.1373307835082187
$\text{IDP}_{50}$,18.687374749499,0.13448942197800307
$\text{IDP}_{50}$,18.7374749498998,0.1317659689693187
$\text{IDP}_{50}$,18.7875751503006,0.12915553276070568
$\text{IDP}_{50}$,18.837675350701403,0.12665342448212868
$\text{IDP}_{50}$,18.887775551102205,0.12425514971056373
$\text{IDP}_{50}$,18.937875751503007,0.12195640041346678
$\text{IDP}_{50}$,18.98797595190381,0.11975304722517421
$\text{IDP}_{50}$,19.03807615230461,0.11764113204287696
$\text{IDP}_{50}$,19.08817635270541,0.11561686092932177
$\text{IDP}_{50}$,19.138276553106213,0.11367659730842661
$\text{IDP}_{50}$,19.188376753507015,0.11181685544352149
$\text{IDP}_{50}$,19.238476953907817,0.11003429418457245
$\text{IDP}_{50}$,19.28857715430862,0.10832571097466825
$\text{IDP}_{50}$,19.338677354709418,0.1066880361049698
$\text{IDP}_{50}$,19.38877755511022,0.10511832720675329
$\text{IDP}_{50}$,19.438877755511022,0.103613763972362
$\text{IDP}_{50}$,19.488977955911825,0.1021716430940387
$\text{IDP}_{50}$,19.539078156312627,0.10078937341302208
$\text{IDP}_{50}$,19.58917835671343,0.09946447126901603
$\text{IDP}_{50}$,19.639278557114228,0.09819455604286986
$\text{IDP}_{50}$,19.68937875751503,0.09697734588331741
$\text{IDP}_{50}$,19.739478957915832,0.0958106536112382
$\text{IDP}_{50}$,19.789579158316634,0.09469238279336878
$\text{IDP}_{50}$,19.839679358717436,0.09362052397875686
$\text{IDP}_{50}$,19.88977955911824,0.09259315109142108
$\text{IDP}_{50}$,19.939879759519037,0.09160841797188368
$\text{IDP}_{50}$,19.98997995991984,0.09066455506297189
$\text{IDP}_{50}$,20.04008016032064,0.08975986623192966
$\text{IDP}_{50}$,20.090180360721444,0.08889272572525897
$\text{IDP}_{50}$,20.140280561122246,0.08806157524895752
$\text{IDP}_{50}$,20.19038076152305,0.08726492117045836
$\text{IDP}_{50}$,20.240480961923847,0.08650133183618891
$\text{IDP}_{50}$,20.29058116232465,0.08576943500020207
$\text{IDP}_{50}$,20.34068136272545,0.08506791536001401
$\text{IDP}_{50}$,20.390781563126254,0.08439551219413488
$\text{IDP}_{50}$,20.440881763527056,0.08375101709742694
$\text{IDP}_{50}$,20.490981963927858,0.08313327181099339
$\text{IDP}_{50}$,20.541082164328657,0.08254116614142504
$\text{IDP}_{50}$,20.59118236472946,0.08197363596678997
$\text{IDP}_{50}$,20.64128256513026,0.08142966132487572
$\text{IDP}_{50}$,20.691382765531063,0.08090826458129641
$\text{IDP}_{50}$,20.741482965931866,0.08040850867297422
$\text{IDP}_{50}$,20.791583166332664,0.0799294954248353
$\text{IDP}_{50}$,20.841683366733466,0.0794703639362524
