# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.0447+-0.0314
10270.0000 0.0182 72.6324 50.0000 36.6384 42.0691 46.5111
10271.0000 0.0164 72.6211 50.0000 36.8740 42.1295 46.2519
10272.0000 0.0186 72.4927 50.0000 36.4425 42.0888 46.4293
10273.0000 0.0223 72.5248 50.0000 35.8352 42.2583 46.7966
10274.0000 0.0205 72.6295 50.0000 36.1322 42.3450 46.6520
10275.0000 0.0221 72.5562 50.0000 35.9995 42.0629 46.8951
10276.0000 0.0215 72.4621 50.0000 36.0284 42.0268 46.7596
10277.0000 0.0231 72.2929 50.0000 35.5858 42.1751 46.7030
10278.0000 0.0218 72.1067 50.0000 35.8576 41.7399 46.5982
10279.0000 0.0201 72.3881 50.0000 36.2534 41.8748 46.6071
10280.0000 0.0236 72.3320 50.0000 35.5075 42.2537 46.7521
10281.0000 0.0248 72.5829 50.0000 35.5548 42.2171 47.1366
10282.0000 0.0210 72.4131 50.0000 36.0182 42.0907 46.6339
10283.0000 0.0231 72.4359 50.0000 36.1065 41.4677 47.1561
10284.0000 0.0238 72.6688 50.0000 36.2199 41.4621 47.4317
10285.0000 0.0276 72.4938 50.0000 35.8401 41.0421 47.8161
10286.0000 0.0232 72.3057 50.0000 36.2232 41.0959 47.1923
10287.0000 0.0225 72.2823 50.0000 36.3235 41.0565 47.1137
10288.0000 0.0252 72.6576 50.0000 36.2083 41.1844 47.6648
10289.0000 0.0215 72.5199 50.0000 36.4804 41.3483 47.1024
10290.0000 0.0208 72.3120 50.0000 36.1312 41.7927 46.6576
10291.0000 0.0283 72.5300 50.0000 35.8155 40.9972 47.9278
10292.0000 0.0272 72.4335 50.0000 35.6875 41.2764 47.6368
10293.0000 0.0280 72.1564 50.0000 35.3786 41.2156 47.4992
10294.0000 0.0289 72.1692 50.0000 35.3034 41.1812 47.6043
10295.0000 0.0230 72.1512 50.0000 36.0611 41.1709 47.0143
10296.0000 0.0266 72.6478 50.0000 36.0091 41.1925 47.7936
10297.0000 0.0274 72.6920 50.0000 36.0200 41.0808 47.9485
10298.0000 0.0223 72.4477 50.0000 36.1121 41.6737 46.9881
10299.0000 0.0217 72.5331 50.0000 36.5322 41.2508 47.1681
10300.0000 0.0282 72.8124 50.0000 35.5167 41.8501 47.8413
10301.0000 0.0325 73.2981 50.0000 35.6965 41.3922 48.8371
10302.0000 0.0286 73.1557 50.0000 36.2242 41.1660 48.4244
10303.0000 0.0281 72.8398 50.0000 36.0056 41.1547 48.1199
10304.0000 0.0206 72.6818 50.0000 37.1367 40.7926 47.3230
10305.0000 0.0198 72.7903 50.0000 36.9458 41.3849 47.1246
10306.0000 0.0195 72.7776 50.0000 36.6032 41.9873 46.8386
10307.0000 0.0173 72.6920 50.0000 36.9745 41.8047 46.5765
10308.0000 0.0152 72.6031 50.0000 37.7496 41.0045 46.5275
10309.0000 0.0102 72.3039 50.0000 38.3657 41.0308 45.5236
10310.0000 0.0125 72.3294 50.0000 37.8373 41.1995 45.8528
10311.0000 0.0115 72.3050 50.0000 37.8194 41.4726 45.5822
10312.0000 0.0150 72.3280 50.0000 37.3866 41.2292 46.1925
10313.0000 0.0148 72.1563 50.0000 37.3287 41.1354 46.0540
10314.0000 0.0117 72.0603 50.0000 38.0586 40.7374 45.6585
10315.0000 0.0090 71.7626 50.0000 38.5044 40.4597 45.0588
10316.0000 0.0082 71.6959 50.0000 38.4388 40.7109 44.7815
10317.0000 0.0088 71.5662 50.0000 38.1872 40.6995 44.7996
10318.0000 0.0095 71.6996 50.0000 38.2449 40.5902 45.0621
10319.0000 0.0086 72.1612 50.0000 38.4000 41.2613 45.0575
10320.0000 0.0093 72.1873 50.0000 38.5098 40.9155 45.3203
10321.0000 0.0107 72.2903 50.0000 38.2659 41.0062 45.6082
10322.0000 0.0097 72.0159 50.0000 38.3017 40.8784 45.2573
10323.0000 0.0082 72.0678 50.0000 38.9381 40.5199 45.1191
10324.0000 0.0063 72.2150 50.0000 39.0733 41.1287 44.6845
10325.0000 0.0060 72.3269 50.0000 39.0603 41.4174 44.6102
10326.0000 0.0074 72.1950 50.0000 38.3545 41.8671 44.5892
10327.0000 0.0054 71.9813 50.0000 38.6674 41.8514 43.9842
10328.0000 0.0086 72.2754 50.0000 38.3680 41.4860 45.0616
10329.0000 0.0080 71.8449 50.0000 38.1690 41.4315 44.5899
10330.0000 0.0060 71.5471 50.0000 38.2471 41.6726 43.8126
10331.0000 0.0056 71.5521 50.0000 38.5329 41.3126 43.9111
10332.0000 0.0053 71.6505 50.0000 38.7323 41.2735 43.9329
10333.0000 0.0088 71.6925 50.0000 38.1086 41.0181 44.7779
10334.0000 0.0059 71.5858 50.0000 38.7922 40.8025 44.2137
10335.0000 0.0033 71.7795 50.0000 39.3405 41.4120 43.4704
10336.0000 0.0034 71.6665 50.0000 39.3256 41.2054 43.4936
10337.0000 0.0044 72.0954 50.0000 39.3576 41.3037 44.0764
10338.0000 0.0045 71.7133 50.0000 38.9487 41.3801 43.7433
10339.0000 0.0066 71.7495 50.0000 38.4447 41.3244 44.2977
10340.0000 0.0090 71.5598 50.0000 38.0863 40.7925 44.7908
10341.0000 0.0046 71.5929 50.0000 38.8660 41.2780 43.7162
10342.0000 0.0041 71.6100 50.0000 39.0486 41.2129 43.6428
10343.0000 0.0049 71.7797 50.0000 39.1820 40.9082 44.0865
10344.0000 0.0065 71.7402 50.0000 39.0239 40.4857 44.5500
10345.0000 0.0063 71.8659 50.0000 38.9926 40.7650 44.5252
10346.0000 0.0072 71.9256 50.0000 39.0173 40.5165 44.8257
10347.0000 0.0042 72.1030 50.0000 39.3357 41.4437 43.9768
10348.0000 0.0070 72.3914 50.0000 38.5799 41.9409 44.6438
10349.0000 0.0057 72.2166 50.0000 39.0745 41.3350 44.4953
10350.0000 0.0061 72.1925 50.0000 39.1570 41.0510 44.6465
10351.0000 0.0049 71.8539 50.0000 39.2776 40.8465 44.1794
10352.0000 0.0059 72.0907 50.0000 39.2361 40.8525 44.5945
10353.0000 0.0067 72.0183 50.0000 39.0031 40.8135 44.7174
10354.0000 0.0089 72.3109 50.0000 39.1267 40.3943 45.4563
10355.0000 0.0075 72.4157 50.0000 39.7010 40.2190 45.2802
10356.0000 0.0087 72.3341 50.0000 39.3330 40.2243 45.4659
10357.0000 0.0053 72.3982 50.0000 39.7694 40.7922 44.6754
10358.0000 0.0075 72.1015 50.0000 38.8483 40.8743 44.9303
10359.0000 0.0059 72.0175 50.0000 39.1889 40.8459 44.5237
10360.0000 0.0058 71.9067 50.0000 39.0404 40.9482 44.3809
10361.0000 0.0073 71.8134 50.0000 38.8792 40.5194 44.7634
10362.0000 0.0058 71.7742 50.0000 38.9376 40.9144 44.2878
